,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2021060106,2313,1562,1519,1514,1455,522,501,487,475,473,435,302,250,192,176,144,111,103,96,96,70,33,30,29,28,26,26,26,26,24
2021060114,1435,613,389,275,257,183,171,166,164,162,159,122,108,108,104,96,96,78,78,77,77,72,72,68,66,66,65,64,64,64
2021060122,1440,451,275,200,162,144,102,102,96,78,74,71,67,66,65,64,54,50,48,48,48,48,48,48,48,48,46,45,43,43
2021060206,1440,1001,771,326,271,251,188,180,156,144,116,114,108,108,108,108,80,76,76,73,73,70,70,66,66,64,63,60,60,60
2021060214,1437,810,449,318,292,245,237,237,179,165,144,137,126,123,121,118,114,114,110,106,92,88,88,86,82,80,80,78,72,72
2021060222,1440,586,491,276,221,153,131,120,114,109,108,98,96,96,87,78,77,70,66,66,63,61,60,60,54,54,54,52,52,48
2021060306,1437,895,703,684,414,294,257,256,248,228,159,158,144,129,128,116,111,108,108,98,96,94,90,90,83,81,79,74,72,71
2021060314,1440,1021,590,273,220,210,192,189,184,153,150,136,130,129,117,116,114,113,108,104,100,87,86,84,82,74,72,66,66,66
2021060322,1440,565,204,201,179,161,159,148,146,145,129,102,96,92,84,79,73,68,66,62,60,59,59,59,58,57,57,55,54,54
2021060406,1440,767,574,400,370,252,240,229,186,174,162,110,108,104,102,94,87,84,84,80,78,77,76,74,72,72,72,64,63,63
2021060414,1440,862,666,318,309,300,159,142,133,131,120,118,113,112,96,80,75,72,72,69,62,62,60,60,58,55,55,54,54,51
2021060422,1437,482,393,326,269,246,228,209,204,175,170,147,90,90,78,78,76,72,69,65,61,51,51,48,48,48,48,48,48,47
2021060506,1440,569,532,387,267,186,162,144,135,126,109,108,106,84,84,84,72,71,63,62,62,61,60,59,58,58,54,54,52,50
2021060514,1437,330,230,156,140,129,110,108,102,86,81,80,80,72,64,54,54,51,48,48,48,48,48,48,48,44,44,42,42,42
2021060522,1440,247,183,141,132,71,69,55,53,52,51,49,48,48,48,48,48,48,45,44,41,40,39,39,38,36,35,35,34,32
2021060606,1440,526,435,349,306,153,138,126,122,114,102,84,74,72,67,56,52,48,48,48,48,48,48,48,48,47,46,44,42,42
2021060614,1440,598,444,419,192,147,138,128,112,96,96,94,92,80,72,72,72,54,54,48,48,48,48,48,48,48,48,48,45,44
2021060622,1437,646,234,210,147,132,131,111,94,74,72,71,65,56,48,48,48,48,48,48,48,46,44,42,42,42,36,32,32,30
2021060706,1440,634,480,337,328,168,156,134,134,126,124,99,78,72,54,54,50,48,48,48,48,48,48,44,42,42,40,40,40,40
2021060714,1440,824,660,634,624,277,265,258,240,195,186,181,150,127,88,87,84,81,81,80,80,79,78,76,75,74,73,73,72,61
2021060722,1440,849,745,522,430,384,354,308,278,194,174,159,158,138,125,116,114,103,102,102,100,98,85,82,80,79,78,78,75,75
2021060806,1437,610,597,340,297,221,162,156,132,126,126,120,108,106,87,76,76,74,72,66,63,60,58,58,57,57,53,52,52,52
2021060814,1440,846,400,302,252,242,227,189,153,137,129,119,108,108,96,87,86,80,78,78,74,72,72,67,64,63,63,61,57,57
2021060822,1440,788,541,411,408,348,318,275,259,218,210,186,159,156,153,137,131,127,123,102,90,79,73,72,72,69,66,65,63,63
2021060906,1437,626,481,470,453,310,308,251,223,164,162,162,132,119,114,108,98,96,80,80,78,78,72,66,64,60,59,54,53,52
2021060914,1440,819,461,246,232,231,209,160,150,120,110,108,102,98,96,88,86,83,83,80,79,72,72,66,66,64,61,61,61,61
2021060922,1440,661,604,529,380,276,218,216,211,163,156,146,138,136,124,114,108,89,88,86,80,79,79,74,72,69,69,68,67,67
2021061006,1437,746,663,452,350,292,257,243,168,159,150,116,110,108,102,99,96,96,88,84,84,82,72,72,68,66,64,64,63,63
2021061014,1440,1133,768,621,388,362,327,321,230,163,153,148,128,120,114,114,114,109,108,89,87,80,78,72,72,72,69,68,67,67
2021061022,1440,1118,356,340,224,198,171,156,139,135,128,123,96,90,90,83,78,77,73,68,60,59,57,55,54,54,54,54,53,52
2021061106,1440,1252,539,426,308,242,187,168,162,108,78,70,64,64,62,56,54,54,53,52,49,48,48,48,48,48,48,48,46,46
